Iteration,Average Returns
0,-500.0
10,-498.0
20,-500.0
30,-500.0
40,-500.0
50,-251.0
60,-500.0
70,-245.0
80,-500.0
90,-72.0
100,-500.0
110,-500.0
120,-500.0
130,-500.0
140,-500.0
150,-238.0
160,-500.0
170,-73.0
180,-500.0
190,-500.0
200,-500.0
210,-484.0
220,-500.0
230,-193.0
240,-184.0
249,-500.0
